                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.8411,                 2.2395,                 2.3719,                0.83795,                0.29998,                0.38241,                0.20306,                 1.6985,                 2.0871,                 2.2826,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.8138,                 2.2507,                 2.3762,                0.82989,                 0.2569,                  0.451,                0.24721,                 1.6884,                 2.1263,                 2.2633,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.8073,                 2.2654,                 2.3567,                0.79352,                0.30473,                0.43094,                0.25517,                   1.57,                  2.076,                 2.1948,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.7903,                 2.2393,                 2.3419,                0.83155,                0.27763,                0.43583,                0.22226,                 1.6193,                 2.0773,                  2.231,             0.00069313,             0.00069313,             0.00069313
                     47,                  1.784,                 2.0974,                 2.3145,                0.87635,                0.26626,                0.48101,                0.26962,                 1.6051,                 2.0888,                  2.207,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.7828,                 2.1468,                 2.3366,                0.85547,                0.23584,                 0.4512,                0.24709,                 1.5522,                 2.4633,                 2.1768,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.7514,                 2.1197,                 2.3015,                0.77972,                0.33111,                0.51121,                0.24955,                  1.613,                 2.2986,                  2.143,               0.000656,               0.000656,               0.000656
                     50,                  1.765,                 2.1209,                 2.2927,                0.66551,                0.44928,                0.53204,                0.26998,                 1.5995,                 1.9793,                 2.1738,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.7553,                 2.1232,                  2.286,                0.83998,                0.35169,                0.49831,                0.28419,                 1.5613,                 1.9551,                 2.1024,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.7045,                  2.071,                 2.2454,                0.82747,                0.35104,                0.48254,                0.29677,                 1.5245,                 1.9792,                 2.0783,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.7062,                 2.0616,                 2.2355,                0.89815,                0.33764,                0.53392,                0.33135,                 1.4768,                 1.7652,                 2.0708,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.7001,                 1.9966,                 2.2123,                 0.7784,                0.42497,                0.55431,                0.33565,                 1.4685,                 1.7514,                 2.0601,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.6721,                 2.0432,                 2.2443,                0.83957,                0.35902,                0.54122,                0.32657,                 1.4569,                 1.7754,                 2.0768,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.6308,                 1.9303,                 2.1683,                0.78877,                0.48683,                0.59817,                0.37781,                 1.4274,                 1.8106,                 2.0682,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.6492,                  1.928,                 2.1996,                0.70691,                0.51758,                0.57847,                0.34194,                 1.4772,                 1.8247,                 2.1059,               0.000557,               0.000557,               0.000557
                     58,                 1.6946,                 1.9754,                 2.1874,                0.74635,                0.48817,                0.65189,                0.36743,                 1.5005,                 1.7375,                 2.0397,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.6103,                 1.9116,                 2.1255,                 0.8724,                0.49393,                0.71371,                  0.435,                 1.4101,                   1.64,                 1.9821,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.5975,                 1.8095,                 2.1122,                0.79194,                0.53049,                0.65604,                0.40936,                 1.3734,                 1.5863,                 1.9276,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.5806,                 1.8359,                 2.1277,                0.70524,                0.53982,                0.65383,                0.38252,                 1.4668,                 1.6214,                 2.0291,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.6208,                 1.8293,                 2.1066,                0.80047,                 0.4803,                0.68646,                0.42671,                 1.4172,                 1.5573,                 1.9921,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.5592,                 1.7872,                 2.0725,                0.69112,                 0.5762,                0.69269,                0.44217,                 1.3665,                 1.4901,                 1.9461,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.5787,                 1.8645,                 2.0428,                0.82327,                0.54605,                0.71437,                 0.4534,                 1.3192,                 1.4627,                 1.9132,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.5369,                 1.7212,                 2.0322,                0.79044,                 0.5714,                0.65058,                0.42833,                 1.3234,                 1.5061,                 1.8894,               0.000458,               0.000458,               0.000458
                     66,                  1.592,                 1.8331,                 2.1095,                0.82335,                0.48677,                0.63226,                0.38013,                  1.331,                 1.5168,                  1.916,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.5486,                 1.7772,                 2.0295,                0.81618,                0.52484,                0.70518,                0.42015,                 1.4344,                  1.583,                 1.9814,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.5171,                 1.6864,                 2.0156,                0.83819,                0.50186,                0.72273,                0.46948,                 1.3252,                 1.4748,                 1.8757,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.5355,                 1.7469,                 2.0349,                0.61004,                0.65592,                0.77647,                0.49936,                 1.3152,                 1.5023,                 1.8769,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.5141,                  1.731,                 2.0172,                0.65826,                0.58608,                0.70953,                0.42102,                  1.433,                 1.5049,                 1.9889,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.5176,                 1.7262,                 2.0423,                0.58184,                0.75943,                0.73995,                0.45592,                 1.3257,                 1.4711,                 1.9323,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.5051,                 1.6964,                 1.9998,                0.60286,                0.79867,                0.76247,                0.50772,                 1.3005,                  1.366,                 1.8554,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.5194,                  1.706,                 1.9789,                0.63236,                0.75214,                0.76669,                0.51948,                 1.2814,                  1.366,                  1.854,               0.000359,               0.000359,               0.000359
                     74,                 1.4665,                 1.6157,                 2.0002,                 0.6532,                0.75231,                0.81158,                0.52341,                 1.2565,                 1.3301,                 1.8254,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.4658,                  1.635,                  1.994,                0.59179,                0.80278,                0.80748,                0.51627,                 1.3095,                 1.3175,                 1.8296,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.4733,                  1.625,                 1.9857,                0.67263,                0.82417,                0.82798,                0.53688,                 1.2882,                 1.3149,                 1.8174,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.4614,                 1.6416,                 1.9829,                0.70422,                0.79258,                0.81255,                0.53732,                 1.2387,                 1.3176,                  1.806,              0.0003095,              0.0003095,              0.0003095
